Number	Released	Released Worldwide	Year	Year	Title	Theatrical Distributor	Genre	Source	Production Method	Creative Type	Production Budget	Opening Weekend Theaters	Maximum Theaters	Theatrical Engagements	Opening Weekend Revenue	Domestic Box Office	Infl. Adj. Dom. Box Office	International Box Office	Worldwide Box Office
63	Oct 11, 2013	Oct 11, 2013	2013	2013	All the Boys Love Mandy Lane	Radius	Horror	Original Screenplay	Live Action	Contemporary Fiction	$750,000	0	0	0	$0	$0	$0	$1,960,521	$1,960,521
64	Sep 13, 2013	Sep 13, 2013	2013	2013	Insidious Chapter 2	FilmDistrict	Horror	Original Screenplay	Live Action	Fantasy	$5,000,000	3,049	3,155	18,494	$40,272,103	$83,586,447	$86,670,811	$78,335,068	$161,921,515
65	Jul 23, 2013	Jun 21, 2012	2013	2012	Twixt		Horror	Based on Real Life Events	Live Action	Fantasy	$7,000,000	0	0	0	$0	$0	$0	$1,268,346	$1,268,346
66	Jul 19, 2013	Jul 19, 2013	2013	2013	The Conjuring	Warner Bros.	Horror	Original Screenplay	Live Action	Fantasy	$20,000,000	2,903	3,115	18,800	$41,855,326	$137,400,141	$142,470,254	$180,600,000	$318,000,141
67	Apr 19, 2013	Apr 19, 2013	2013	2013	The Lords of Salem	Anchor Bay Entertainment	Horror	Original Screenplay	Live Action	Fantasy	$1,500,000	355	355	700	$642,942	$1,165,881	$1,208,896	$375,250	$1,541,131
68	Apr 5, 2013	Apr 3, 2013	2013	2013	Evil Dead	Sony Pictures	Horror	Remake	Live Action	Fantasy	$17,000,000	3,025	3,025	12,938	$25,775,847	$54,239,856	$56,241,327	$43,538,500	$97,778,356
69	Mar 1, 2013	Mar 1, 2013	2013	2013	The Last Exorcism Part II	CBS Films	Horror	Original Screenplay	Live Action	Fantasy	$4,000,000	2,700	2,700	7,532	$7,728,354	$15,179,303	$15,739,417	$10,269,404	$25,448,707
70	Feb 1, 2013	Feb 1, 2013	2013	2013	A Haunting in Connecticut 2: The Ghos…	Lionsgate	Horror	Original Screenplay	Live Action	Science Fiction	$9,000,000	0	0	0	$0	$0	$0	$0	$0
71	Jan 18, 2013	Jan 17, 2013	2013	2013	Mama	Universal	Horror	Based on Short Film	Live Action	Fantasy	$15,000,000	2,647	2,781	14,716	$28,402,310	$71,628,180	$74,271,284	$76,467,386	$148,095,566
72	Jan 4, 2013	Jan 4, 2013	2013	2013	Texas Chainsaw 3D	Lionsgate	Horror	Original Screenplay	Live Action	Contemporary Fiction	$20,000,000	2,654	2,659	7,518	$21,744,470	$34,341,945	$36,090,693	$13,324,068	$47,666,013
73	Dec 31, 2012	Dec 31, 2012	2012	2012	The Helpers		Horror	Original Screenplay	Live Action	Contemporary Fiction	$4,000,000	0	0	0	$0	$0	$0	$0	$0
74	Dec 31, 2012	Dec 31, 2012	2012	2012	Hayride		Horror	Original Screenplay	Live Action	Contemporary Fiction	$60,000	0	0	0	$0	$0	$0	$0	$0
75	Dec 31, 2012	Dec 31, 2012	2012	2012	Infected		Horror	Original Screenplay	Live Action	Science Fiction	$2,100,000	0	0	0	$0	$0	$0	$0	$0
76	Nov 30, 2012	Nov 29, 2012	2012	2012	The Collection	LD Distribution	Horror	Original Screenplay	Live Action	Contemporary Fiction	$10,000,000	1,403	1,403	3,539	$3,104,269	$6,810,754	$7,212,893	$2,079,340	$8,890,094
77	Oct 26, 2012	Oct 26, 2012	2012	2012	Silent Hill: Revelation 3D	Open Road	Horror	Based on Game	Live Action	Fantasy	$20,000,000	2,933	2,933	8,659	$8,023,036	$17,530,219	$18,565,288	$38,445,453	$55,975,672
78	Oct 19, 2012	Oct 17, 2012	2012	2012	Paranormal Activity 4	Paramount Pictures	Horror	Original Screenplay	Live Action	Fantasy	$5,000,000	3,412	3,412	13,511	$29,003,866	$53,900,335	$57,082,885	$86,719,185	$140,619,520
79	Oct 9, 2012	Oct 9, 2012	2012	2012	Truth or Die		Horror	Original Screenplay	Live Action	Contemporary Fiction	$1,000,000	0	0	0	$0	$0	$0	$0	$0
80	Sep 21, 2012	Sep 21, 2012	2012	2012	House at the End of the Street	Relativity	Horror	Based on Fiction Book/Short Story	Live Action	Contemporary Fiction	$6,900,000	3,083	3,083	12,536	$12,287,234	$31,611,916	$33,478,447	$12,492,066	$44,103,982
81	Sep 14, 2012	Sep 14, 2012	2012	2012	Airborne	Image Entertainment	Horror	Original Screenplay	Live Action	Fantasy	$1,200,000	0	0	0	$0	$0	$0	$0	$0
82	Sep 7, 2012	Sep 7, 2012	2012	2012	Crowsnest	IFC Midnight	Horror	Original Screenplay	Live Action	Contemporary Fiction	$1,200,000	0	0	0	$0	$0	$0	$0	$0
83	Aug 31, 2012	Aug 31, 2012	2012	2012	The Possession	Lionsgate	Horror	Original Screenplay	Live Action	Fantasy	$14,000,000	2,816	2,860	14,488	$17,732,480	$49,130,588	$52,031,511	$33,794,476	$82,925,064
84	Aug 24, 2012	Aug 23, 2012	2012	2012	The Apparition	Warner Bros.	Horror	Original Screenplay	Live Action	Contemporary Fiction	$17,000,000	810	810	2,636	$2,841,488	$4,936,819	$5,228,311	$5,700,462	$10,637,281
85	Aug 17, 2012	Aug 17, 2012	2012	2012	The Awakening	Cohen Media Group	Horror	Original Screenplay	Live Action	Fantasy	$4,900,000	70	70	70	$95,933	$95,933	$101,590	$6,828,388	$6,924,321
86	Jul 17, 2012	Jul 17, 2012	2012	2012	Girls Gone Dead		Horror	Original Screenplay	Live Action	Contemporary Fiction	$500,000	0	0	0	$0	$0	$0	$0	$0
87	Jun 22, 2012	Jun 20, 2012	2012	2012	Abraham Lincoln: Vampire Hunter	20th Century Fox	Horror	Based on Fiction Book/Short Story	Live Action	Fantasy	$67,500,000	3,108	3,109	9,577	$16,306,974	$37,519,139	$39,734,459	$99,970,591	$137,489,730
88	Jun 1, 2012	Jun 1, 2012	2012	2012	The Loved Ones	Paramount Pictures	Horror	Original Screenplay	Live Action	Contemporary Fiction	$4,000,000	0	0	0	$0	$0	$0	$12,302	$12,302
89	May 25, 2012	May 24, 2012	2012	2012	Chernobyl Diaries	Warner Bros.	Horror	Original Screenplay	Live Action	Science Fiction	$1,000,000	2,433	2,433	6,747	$7,955,307	$18,119,640	$19,189,512	$24,292,081	$42,411,721
90	Mar 20, 2012	Mar 20, 2012	2012	2012	Snow White: A Deadly Summer		Horror	Original Screenplay	Live Action	Contemporary Fiction	$1,000,000	0	0	0	$0	$0	$0	$0	$0
91	Mar 9, 2012	Mar 9, 2012	2012	2012	Silent House	Open Road	Horror	Remake	Live Action	Fantasy	$2,000,000	2,124	2,124	6,148	$6,660,234	$12,739,737	$13,491,954	$3,871,023	$16,610,760
92	Feb 3, 2012	Feb 3, 2012	2012	2012	Kill List	IFC Films	Horror	Original Screenplay	Live Action	Contemporary Fiction	$800,000	2	10	20	$9,838	$29,063	$30,778	$433,143	$462,206
93	Feb 3, 2012	Feb 3, 2012	2012	2012	The Innkeepers	Magnolia Pictures	Horror	Original Screenplay	Live Action	Fantasy	$750,000	20	20	45	$29,557	$78,396	$83,019	$933,139	$1,011,535
94	Jan 6, 2012	Jan 6, 2012	2012	2012	The Devil Inside	Paramount Pictures	Horror	Original Screenplay	Live Action	Fantasy	$1,000,000	2,285	2,551	8,326	$33,732,515	$53,261,944	$56,406,799	$48,496,545	$101,758,489
1	Dec 31, 2011	Apr 11, 2013	2011	2013	Absentia		Horror				$70,000	0	0	0	$0	$0	$0	$8,555	$8,555
2	Nov 25, 2011	Nov 25, 2011	2011	2011	The Ridges		Horror	Original Screenplay	Live Action	Fantasy	$17,300	0	0	0	$0	$0	$0	$0	$0
3	Oct 21, 2011	Oct 21, 2011	2011	2011	Paranormal Activity 3	Paramount Pictures	Horror	Original Screenplay	Live Action	Fantasy	$5,000,000	3,321	3,329	15,480	$52,568,183	$104,028,807	$110,587,910	$98,024,579	$202,053,386
4	Oct 14, 2011	Oct 14, 2011	2011	2011	The Thing	Universal	Horror	Remake	Live Action	Fantasy	$38,000,000	2,996	2,997	7,910	$8,493,665	$16,928,670	$18,071,813	$10,573,144	$27,501,814
5	Sep 30, 2011	Sep 30, 2011	2011	2011	Dream House	Universal	Horror	Original Screenplay	Live Action	Contemporary Fiction	$50,000,000	2,661	2,664	9,808	$8,129,355	$21,302,340	$22,645,492	$20,339,826	$41,642,166
6	Sep 9, 2011	Sep 9, 2011	2011	2011	Grave Encounters	TriBeca Films	Horror	Original Screenplay	Live Action	Contemporary Fiction	$2,000,000	0	0	0	$0	$0	$0	$2,151,887	$2,151,887
