Number	Released	Released Worldwide	Year	Year	Title	Theatrical Distributor	Genre	Source	Production Method	Creative Type	Production Budget	Opening Weekend Theaters	Maximum Theaters	Theatrical Engagements	Opening Weekend Revenue	Domestic Box Office	Infl. Adj. Dom. Box Office	International Box Office	Worldwide Box Office
17	Apr 22 2011	Apr 22 2011	2011	2011	Stake Land	IFC Films	Horror	Original Screenplay	Live Action	Fantasy	4000000	1	5	6	7258	33245	35339	646237	679482
18	Apr 15 2011	Apr 15 2011	2011	2011	Scream 4	Weinstein/Dimension	Horror	Original Screenplay	Live Action	Contemporary Fiction	40000000	3305	3314	11403	18692090	38180928	40588300	57808662	95989590
19	Apr 1 2011	Apr 1 2011	2011	2011	Insidious	FilmDistrict	Horror	Original Screenplay	Live Action	Fantasy	1500000	2408	2419	14066	13271464	54009150	57414513	45861736	99870886
20	Mar 5 2011	Mar 5 2011	2011	2011	Red State	Smodshow Productions	Horror	Original Screenplay	Live Action	Contemporary Fiction	4000000	2	2	5	102566	1065429	1132604	918167	1983596
21	Feb 11 2011	Feb 11 2011	2011	2011	Raymond Did It	Plastic Age Productions	Horror	Original Screenplay	Live Action	Contemporary Fiction	40000	1	1	2	3192	3632	3861	0	3632
22	Jan 28 2011	Jan 28 2011	2011	2011	The Rite	Warner Bros.	Horror	Based on Factual Book/Article	Live Action	Dramatization	37000000	2985	2985	10485	14789393	33047633	35131342	64096354	97143987
23	Dec 31 2010	Dec 31 2010	2010	2010	Trance		Horror	Original Screenplay	Live Action	Fantasy	950000	0	0	0	0	0	0	0	0
24	Dec 31 2010	Dec 31 2010	2010	2010	Butterfly		Horror				250000	0	0	0	0	0	0	0	0
25	Dec 31 2010	Dec 31 2010	2010	2010	Psych 9		Horror	Original Screenplay	Live Action	Contemporary Fiction	5000000	0	0	0	0	0	0	0	0
26	Dec 31 2010	Dec 31 2010	2010	2010	Dead Undead The		Horror	Original Screenplay	Live Action	Fantasy	1100000	0	0	0	0	0	0	0	0
27	Oct 29 2010	Oct 29 2010	2010	2010	Saw 3D	Lionsgate	Horror	Original Screenplay	Live Action	Contemporary Fiction	17000000	2808	2808	8543	24230123	45710178	48838623	88025106	133735284
28	Oct 20 2010	Oct 20 2010	2010	2010	Paranormal Activity 2	Paramount Pictures	Horror	Original Screenplay	Live Action	Fantasy	3000000	3216	3239	14325	40678424	84752907	90552986	92759125	177512032
29	Oct 8 2010	Oct 8 2010	2010	2010	My Soul to Take	Universal	Horror	Original Screenplay	Live Action	Contemporary Fiction	25000000	2572	2572	7503	6842220	14744435	15753563	1983035	16727470
30	Oct 8 2010	Oct 8 2010	2010	2010	I Spit on Your Grave	Anchor Bay Entertainment	Horror	Remake	Live Action	Contemporary Fiction	1750000	12	12	38	32440	93051	99415	1185420	1278471
31	Oct 1 2010	Oct 1 2010	2010	2010	Case 39	Paramount Vantage	Horror	Original Screenplay	Live Action	Fantasy	27000000	2211	2212	7219	5350570	13261851	14169506	15511976	28773827
32	Oct 1 2010	Oct 1 2010	2010	2010	Chain Letter	New Films Cinema	Horror	Original Screenplay	Live Action	Contemporary Fiction	3000000	406	406	406	138788	205842	219922	816611	1022453
33	Sep 17 2010	Sep 17 2010	2010	2010	Devil	Universal	Horror	Original Screenplay	Live Action	Fantasy	10000000	2809	2811	12026	12289375	33679655	35984728	29674459	63354114
34	Sep 10 2010	Sep 10 2010	2010	2010	Resident Evil: Afterlife	Sony Pictures	Horror	Based on Game	Live Action	Science Fiction	57500000	3203	3209	12764	26650264	60128566	60128566	235745624	295874190
35	Aug 27 2010	Aug 27 2010	2010	2010	Circle	Indican Pictures	Horror	Original Screenplay	Live Action	Contemporary Fiction	2000000	2	2	5	3326	10024	10706	0	10024
36	Aug 27 2010	Aug 27 2010	2010	2010	The Last Exorcism	Lionsgate	Horror	Original Screenplay	Live Action	Contemporary Fiction	1800000	2874	2874	11506	20366613	41034350	43842778	29131550	70165900
37	Aug 20 2010	Aug 20 2010	2010	2010	Piranha 3D	Weinstein/Dimension	Horror	Remake	Live Action	Science Fiction	24000000	2470	2491	8117	10106872	25003155	26714392	58657005	83660160
38	Jun 4 2010	Jun 4 2010	2010	2010	Splice	Warner Bros.	Horror	Original Screenplay	Animation/Live Action	Science Fiction	30000000	2450	2450	6698	7385277	17010170	18174363	9847289	26857459
